,addrcode,bin,bowl,bucket,misc_short,jar,pottedplant,tire,misc_tall,total,Age < 7,Age 7 - 9,Age 10 - 14,Age 15 - 24,Age 25 - 34,Age 35 - 44,Age 45 - 60,Age > 60,Total,Age < 7_bin,Age < 7_bowl,Age < 7_bucket,Age < 7_misc_short,Age < 7_jar,Age < 7_pottedplant,Age < 7_tire,Age < 7_misc_tall,Age < 7_total,Age 7 - 9_bin,Age 7 - 9_bowl,Age 7 - 9_bucket,Age 7 - 9_misc_short,Age 7 - 9_jar,Age 7 - 9_pottedplant,Age 7 - 9_tire,Age 7 - 9_misc_tall,Age 7 - 9_total,Age 10 - 14_bin,Age 10 - 14_bowl,Age 10 - 14_bucket,Age 10 - 14_misc_short,Age 10 - 14_jar,Age 10 - 14_pottedplant,Age 10 - 14_tire,Age 10 - 14_misc_tall,Age 10 - 14_total,Age 15 - 24_bin,Age 15 - 24_bowl,Age 15 - 24_bucket,Age 15 - 24_misc_short,Age 15 - 24_jar,Age 15 - 24_pottedplant,Age 15 - 24_tire,Age 15 - 24_misc_tall,Age 15 - 24_total,Age 25 - 34_bin,Age 25 - 34_bowl,Age 25 - 34_bucket,Age 25 - 34_misc_short,Age 25 - 34_jar,Age 25 - 34_pottedplant,Age 25 - 34_tire,Age 25 - 34_misc_tall,Age 25 - 34_total,Age 35 - 44_bin,Age 35 - 44_bowl,Age 35 - 44_bucket,Age 35 - 44_misc_short,Age 35 - 44_jar,Age 35 - 44_pottedplant,Age 35 - 44_tire,Age 35 - 44_misc_tall,Age 35 - 44_total,Age 45 - 60_bin,Age 45 - 60_bowl,Age 45 - 60_bucket,Age 45 - 60_misc_short,Age 45 - 60_jar,Age 45 - 60_pottedplant,Age 45 - 60_tire,Age 45 - 60_misc_tall,Age 45 - 60_total,Age > 60_bin,Age > 60_bowl,Age > 60_bucket,Age > 60_misc_short,Age > 60_jar,Age > 60_pottedplant,Age > 60_tire,Age > 60_misc_tall,Age > 60_total,Total_bin,Total_bowl,Total_bucket,Total_misc_short,Total_jar,Total_pottedplant,Total_tire,Total_misc_tall,Total_total
0,1001,167,87,509,73,22,1543,101,25,2527,1975,1405,3421,6768,6310,7189,12263,11377,50708,0.846,0.441,2.577,0.37,0.111,7.813,0.511,0.127,12.795,1.189,0.619,3.623,0.52,0.157,10.982,0.719,0.178,17.986,0.488,0.254,1.488,0.213,0.064,4.51,0.295,0.073,7.387,0.247,0.129,0.752,0.108,0.033,2.28,0.149,0.037,3.734,0.265,0.138,0.807,0.116,0.035,2.445,0.16,0.04,4.005,0.232,0.121,0.708,0.102,0.031,2.146,0.14,0.035,3.515,0.136,0.071,0.415,0.06,0.018,1.258,0.082,0.02,2.061,0.147,0.076,0.447,0.064,0.019,1.356,0.089,0.022,2.221,0.033,0.017,0.1,0.014,0.004,0.304,0.02,0.005,0.498
1,1002,104,24,292,20,10,630,77,1,1158,1773,918,1741,5666,4736,4906,8967,8626,37333,0.587,0.135,1.647,0.113,0.056,3.553,0.434,0.006,6.531,1.133,0.261,3.181,0.218,0.109,6.863,0.839,0.011,12.614,0.597,0.138,1.677,0.115,0.057,3.619,0.442,0.006,6.651,0.184,0.042,0.515,0.035,0.018,1.112,0.136,0.002,2.044,0.22,0.051,0.617,0.042,0.021,1.33,0.163,0.002,2.445,0.212,0.049,0.595,0.041,0.02,1.284,0.157,0.002,2.36,0.116,0.027,0.326,0.022,0.011,0.703,0.086,0.001,1.291,0.121,0.028,0.339,0.023,0.012,0.73,0.089,0.001,1.342,0.028,0.006,0.078,0.005,0.003,0.169,0.021,0.0,0.31
2,1003,796,47,2679,30,169,3029,675,7,7432,14242,6928,11754,23905,21426,27989,36450,14785,157479,0.559,0.033,1.881,0.021,0.119,2.127,0.474,0.005,5.218,1.149,0.068,3.867,0.043,0.244,4.372,0.974,0.01,10.727,0.677,0.04,2.279,0.026,0.144,2.577,0.574,0.006,6.323,0.333,0.02,1.121,0.013,0.071,1.267,0.282,0.003,3.109,0.372,0.022,1.25,0.014,0.079,1.414,0.315,0.003,3.469,0.284,0.017,0.957,0.011,0.06,1.082,0.241,0.003,2.655,0.218,0.013,0.735,0.008,0.046,0.831,0.185,0.002,2.039,0.538,0.032,1.812,0.02,0.114,2.049,0.457,0.005,5.027,0.051,0.003,0.17,0.002,0.011,0.192,0.043,0.0,0.472
3,1004,126,68,474,45,16,1070,143,14,1956,1713,887,1627,4386,5256,5566,9144,9096,37675,0.736,0.397,2.767,0.263,0.093,6.246,0.835,0.082,11.419,1.421,0.767,5.344,0.507,0.18,12.063,1.612,0.158,22.052,0.774,0.418,2.913,0.277,0.098,6.577,0.879,0.086,12.022,0.287,0.155,1.081,0.103,0.036,2.44,0.326,0.032,4.46,0.24,0.129,0.902,0.086,0.03,2.036,0.272,0.027,3.721,0.226,0.122,0.852,0.081,0.029,1.922,0.257,0.025,3.514,0.138,0.074,0.518,0.049,0.017,1.17,0.156,0.015,2.139,0.139,0.075,0.521,0.049,0.018,1.176,0.157,0.015,2.15,0.033,0.018,0.126,0.012,0.004,0.284,0.038,0.004,0.519
4,1005,1541,130,4342,85,262,7664,827,28,14879,11902,5489,9681,25038,25866,33522,49226,26742,187466,1.295,0.109,3.648,0.071,0.22,6.439,0.695,0.024,12.501,2.807,0.237,7.91,0.155,0.477,13.962,1.507,0.051,27.107,1.592,0.134,4.485,0.088,0.271,7.917,0.854,0.029,15.369,0.615,0.052,1.734,0.034,0.105,3.061,0.33,0.011,5.943,0.596,0.05,1.679,0.033,0.101,2.963,0.32,0.011,5.752,0.46,0.039,1.295,0.025,0.078,2.286,0.247,0.008,4.439,0.313,0.026,0.882,0.017,0.053,1.557,0.168,0.006,3.023,0.576,0.049,1.624,0.032,0.098,2.866,0.309,0.01,5.564,0.082,0.007,0.232,0.005,0.014,0.409,0.044,0.001,0.794
5,1006,1141,156,4418,125,180,8032,749,31,14832,9588,4762,8198,18096,20115,27265,36103,21749,145876,1.19,0.163,4.608,0.13,0.188,8.377,0.781,0.032,15.469,2.396,0.328,9.278,0.262,0.378,16.867,1.573,0.065,31.147,1.392,0.19,5.389,0.152,0.22,9.798,0.914,0.038,18.092,0.631,0.086,2.441,0.069,0.099,4.439,0.414,0.017,8.196,0.567,0.078,2.196,0.062,0.089,3.993,0.372,0.015,7.374,0.418,0.057,1.62,0.046,0.066,2.946,0.275,0.011,5.44,0.316,0.043,1.224,0.035,0.05,2.225,0.207,0.009,4.108,0.525,0.072,2.031,0.057,0.083,3.693,0.344,0.014,6.82,0.078,0.011,0.303,0.009,0.012,0.551,0.051,0.002,1.017
6,1007,129,54,454,48,18,1190,209,16,2118,2168,1079,2217,6652,6386,6592,10592,8572,44258,0.595,0.249,2.094,0.221,0.083,5.489,0.964,0.074,9.769,1.196,0.5,4.208,0.445,0.167,11.029,1.937,0.148,19.629,0.582,0.244,2.048,0.217,0.081,5.368,0.943,0.072,9.553,0.194,0.081,0.683,0.072,0.027,1.789,0.314,0.024,3.184,0.202,0.085,0.711,0.075,0.028,1.863,0.327,0.025,3.317,0.196,0.082,0.689,0.073,0.027,1.805,0.317,0.024,3.213,0.122,0.051,0.429,0.045,0.017,1.123,0.197,0.015,2.0,0.15,0.063,0.53,0.056,0.021,1.388,0.244,0.019,2.471,0.029,0.012,0.103,0.011,0.004,0.269,0.047,0.004,0.479
7,1008,60,46,376,46,12,916,176,5,1637,2042,995,1988,5534,5874,6300,10901,10325,43959,0.294,0.225,1.841,0.225,0.059,4.486,0.862,0.024,8.017,0.603,0.462,3.779,0.462,0.121,9.206,1.769,0.05,16.452,0.302,0.231,1.891,0.231,0.06,4.608,0.885,0.025,8.234,0.108,0.083,0.679,0.083,0.022,1.655,0.318,0.009,2.958,0.102,0.078,0.64,0.078,0.02,1.559,0.3,0.009,2.787,0.095,0.073,0.597,0.073,0.019,1.454,0.279,0.008,2.598,0.055,0.042,0.345,0.042,0.011,0.84,0.161,0.005,1.502,0.058,0.045,0.364,0.045,0.012,0.887,0.17,0.005,1.585,0.014,0.01,0.086,0.01,0.003,0.208,0.04,0.001,0.372
8,1010,797,70,3389,56,226,4534,652,12,9736,11209,5608,9807,20286,18349,23765,34629,15208,138861,0.711,0.062,3.023,0.05,0.202,4.045,0.582,0.011,8.686,1.421,0.125,6.043,0.1,0.403,8.085,1.163,0.021,17.361,0.813,0.071,3.456,0.057,0.23,4.623,0.665,0.012,9.928,0.393,0.035,1.671,0.028,0.111,2.235,0.321,0.006,4.799,0.434,0.038,1.847,0.031,0.123,2.471,0.355,0.007,5.306,0.335,0.029,1.426,0.024,0.095,1.908,0.274,0.005,4.097,0.23,0.02,0.979,0.016,0.065,1.309,0.188,0.003,2.812,0.524,0.046,2.228,0.037,0.149,2.981,0.429,0.008,6.402,0.057,0.005,0.244,0.004,0.016,0.327,0.047,0.001,0.701
9,1011,320,39,2321,47,147,1911,825,7,5617,12067,5622,9762,20301,20246,25727,34517,13137,141379,0.265,0.032,1.923,0.039,0.122,1.584,0.684,0.006,4.655,0.569,0.069,4.128,0.084,0.261,3.399,1.467,0.012,9.991,0.328,0.04,2.378,0.048,0.151,1.958,0.845,0.007,5.754,0.158,0.019,1.143,0.023,0.072,0.941,0.406,0.003,2.767,0.158,0.019,1.146,0.023,0.073,0.944,0.407,0.003,2.774,0.124,0.015,0.902,0.018,0.057,0.743,0.321,0.003,2.183,0.093,0.011,0.672,0.014,0.043,0.554,0.239,0.002,1.627,0.244,0.03,1.767,0.036,0.112,1.455,0.628,0.005,4.276,0.023,0.003,0.164,0.003,0.01,0.135,0.058,0.0,0.397
10,1012,244,45,723,28,34,1407,213,6,2700,4793,2372,4187,9951,11241,12442,18461,13589,77036,0.509,0.094,1.508,0.058,0.071,2.936,0.444,0.013,5.633,1.029,0.19,3.048,0.118,0.143,5.932,0.898,0.025,11.383,0.583,0.107,1.727,0.067,0.081,3.36,0.509,0.014,6.449,0.245,0.045,0.727,0.028,0.034,1.414,0.214,0.006,2.713,0.217,0.04,0.643,0.025,0.03,1.252,0.189,0.005,2.402,0.196,0.036,0.581,0.023,0.027,1.131,0.171,0.005,2.17,0.132,0.024,0.392,0.015,0.018,0.762,0.115,0.003,1.463,0.18,0.033,0.532,0.021,0.025,1.035,0.157,0.004,1.987,0.032,0.006,0.094,0.004,0.004,0.183,0.028,0.001,0.35
11,1013,58,25,163,20,3,358,49,7,683,876,478,1013,2776,3172,3366,5912,5850,23443,0.662,0.285,1.861,0.228,0.034,4.087,0.559,0.08,7.797,1.213,0.523,3.41,0.418,0.063,7.49,1.025,0.146,14.289,0.573,0.247,1.609,0.197,0.03,3.534,0.484,0.069,6.742,0.209,0.09,0.587,0.072,0.011,1.29,0.177,0.025,2.46,0.183,0.079,0.514,0.063,0.009,1.129,0.154,0.022,2.153,0.172,0.074,0.484,0.059,0.009,1.064,0.146,0.021,2.029,0.098,0.042,0.276,0.034,0.005,0.606,0.083,0.012,1.155,0.099,0.043,0.279,0.034,0.005,0.612,0.084,0.012,1.168,0.025,0.011,0.07,0.009,0.001,0.153,0.021,0.003,0.291
12,1014,270,50,621,38,23,1672,213,17,2904,3674,1984,4090,10617,9655,10829,16478,11427,68754,0.735,0.136,1.69,0.103,0.063,4.551,0.58,0.046,7.904,1.361,0.252,3.13,0.192,0.116,8.427,1.074,0.086,14.637,0.66,0.122,1.518,0.093,0.056,4.088,0.521,0.042,7.1,0.254,0.047,0.585,0.036,0.022,1.575,0.201,0.016,2.735,0.28,0.052,0.643,0.039,0.024,1.732,0.221,0.018,3.008,0.249,0.046,0.573,0.035,0.021,1.544,0.197,0.016,2.682,0.164,0.03,0.377,0.023,0.014,1.015,0.129,0.01,1.762,0.236,0.044,0.543,0.033,0.02,1.463,0.186,0.015,2.541,0.039,0.007,0.09,0.006,0.003,0.243,0.031,0.002,0.422
13,1015,142,83,841,49,46,1652,195,10,3018,5818,2873,5325,14414,15323,16560,27080,20873,108266,0.244,0.143,1.446,0.084,0.079,2.839,0.335,0.017,5.187,0.494,0.289,2.927,0.171,0.16,5.75,0.679,0.035,10.505,0.267,0.156,1.579,0.092,0.086,3.102,0.366,0.019,5.668,0.099,0.058,0.583,0.034,0.032,1.146,0.135,0.007,2.094,0.093,0.054,0.549,0.032,0.03,1.078,0.127,0.007,1.97,0.086,0.05,0.508,0.03,0.028,0.998,0.118,0.006,1.822,0.052,0.031,0.311,0.018,0.017,0.61,0.072,0.004,1.114,0.068,0.04,0.403,0.023,0.022,0.791,0.093,0.005,1.446,0.013,0.008,0.078,0.005,0.004,0.153,0.018,0.001,0.279
14,1016,59,23,272,13,22,798,54,8,1249,3362,1619,3166,8770,9170,9972,16252,13540,65851,0.175,0.068,0.809,0.039,0.065,2.374,0.161,0.024,3.715,0.364,0.142,1.68,0.08,0.136,4.929,0.334,0.049,7.715,0.186,0.073,0.859,0.041,0.069,2.521,0.171,0.025,3.945,0.067,0.026,0.31,0.015,0.025,0.91,0.062,0.009,1.424,0.064,0.025,0.297,0.014,0.024,0.87,0.059,0.009,1.362,0.059,0.023,0.273,0.013,0.022,0.8,0.054,0.008,1.253,0.036,0.014,0.167,0.008,0.014,0.491,0.033,0.005,0.769,0.044,0.017,0.201,0.01,0.016,0.589,0.04,0.006,0.922,0.009,0.003,0.041,0.002,0.003,0.121,0.008,0.001,0.19
15,1017,658,72,1818,62,80,3885,549,23,7147,4928,2159,3799,8856,13077,15057,17313,12931,78120,1.335,0.146,3.689,0.126,0.162,7.884,1.114,0.047,14.503,3.048,0.333,8.421,0.287,0.371,17.994,2.543,0.107,33.103,1.732,0.19,4.785,0.163,0.211,10.226,1.445,0.061,18.813,0.743,0.081,2.053,0.07,0.09,4.387,0.62,0.026,8.07,0.503,0.055,1.39,0.047,0.061,2.971,0.42,0.018,5.465,0.437,0.048,1.207,0.041,0.053,2.58,0.365,0.015,4.747,0.38,0.042,1.05,0.036,0.046,2.244,0.317,0.013,4.128,0.509,0.056,1.406,0.048,0.062,3.004,0.425,0.018,5.527,0.084,0.009,0.233,0.008,0.01,0.497,0.07,0.003,0.915
16,1018,104,53,510,21,36,1024,130,3,1881,3491,1822,3219,8685,9714,10458,16781,14066,68236,0.298,0.152,1.461,0.06,0.103,2.933,0.372,0.009,5.388,0.571,0.291,2.799,0.115,0.198,5.62,0.714,0.016,10.324,0.323,0.165,1.584,0.065,0.112,3.181,0.404,0.009,5.843,0.12,0.061,0.587,0.024,0.041,1.179,0.15,0.003,2.166,0.107,0.055,0.525,0.022,0.037,1.054,0.134,0.003,1.936,0.099,0.051,0.488,0.02,0.034,0.979,0.124,0.003,1.799,0.062,0.032,0.304,0.013,0.021,0.61,0.077,0.002,1.121,0.074,0.038,0.363,0.015,0.026,0.728,0.092,0.002,1.337,0.015,0.008,0.075,0.003,0.005,0.15,0.019,0.0,0.276
17,1019,246,32,975,26,50,1848,292,4,3473,4782,2365,4116,10332,10949,12360,20522,14281,79707,0.514,0.067,2.039,0.054,0.105,3.864,0.611,0.008,7.263,1.04,0.135,4.123,0.11,0.211,7.814,1.235,0.017,14.685,0.598,0.078,2.369,0.063,0.121,4.49,0.709,0.01,8.438,0.238,0.031,0.944,0.025,0.048,1.789,0.283,0.004,3.361,0.225,0.029,0.89,0.024,0.046,1.688,0.267,0.004,3.172,0.199,0.026,0.789,0.021,0.04,1.495,0.236,0.003,2.81,0.12,0.016,0.475,0.013,0.024,0.9,0.142,0.002,1.692,0.172,0.022,0.683,0.018,0.035,1.294,0.204,0.003,2.432,0.031,0.004,0.122,0.003,0.006,0.232,0.037,0.001,0.436
18,1020,288,33,936,38,49,2241,226,8,3819,5085,2518,4681,13970,14627,15560,27308,22912,106661,0.566,0.065,1.841,0.075,0.096,4.407,0.444,0.016,7.51,1.144,0.131,3.717,0.151,0.195,8.9,0.898,0.032,15.167,0.615,0.07,2.0,0.081,0.105,4.787,0.483,0.017,8.159,0.206,0.024,0.67,0.027,0.035,1.604,0.162,0.006,2.734,0.197,0.023,0.64,0.026,0.033,1.532,0.155,0.005,2.611,0.185,0.021,0.602,0.024,0.031,1.44,0.145,0.005,2.454,0.105,0.012,0.343,0.014,0.018,0.821,0.083,0.003,1.398,0.126,0.014,0.409,0.017,0.021,0.978,0.099,0.003,1.667,0.027,0.003,0.088,0.004,0.005,0.21,0.021,0.001,0.358
19,1021,610,71,2568,59,144,3221,574,17,7264,14662,6975,12356,25339,25365,31539,41652,19750,177638,0.416,0.048,1.751,0.04,0.098,2.197,0.391,0.012,4.954,0.875,0.102,3.682,0.085,0.206,4.618,0.823,0.024,10.414,0.494,0.057,2.078,0.048,0.117,2.607,0.465,0.014,5.879,0.241,0.028,1.013,0.023,0.057,1.271,0.227,0.007,2.867,0.24,0.028,1.012,0.023,0.057,1.27,0.226,0.007,2.864,0.193,0.023,0.814,0.019,0.046,1.021,0.182,0.005,2.303,0.146,0.017,0.617,0.014,0.035,0.773,0.138,0.004,1.744,0.309,0.036,1.3,0.03,0.073,1.631,0.291,0.009,3.678,0.034,0.004,0.145,0.003,0.008,0.181,0.032,0.001,0.409
20,1022,310,85,1886,43,115,3153,362,14,5968,7870,3686,6527,16371,17846,20165,30685,21346,124496,0.394,0.108,2.396,0.055,0.146,4.006,0.46,0.018,7.583,0.841,0.231,5.117,0.117,0.312,8.554,0.982,0.038,16.191,0.475,0.13,2.89,0.066,0.176,4.831,0.555,0.021,9.144,0.189,0.052,1.152,0.026,0.07,1.926,0.221,0.009,3.645,0.174,0.048,1.057,0.024,0.064,1.767,0.203,0.008,3.344,0.154,0.042,0.935,0.021,0.057,1.564,0.18,0.007,2.96,0.101,0.028,0.615,0.014,0.037,1.028,0.118,0.005,1.945,0.145,0.04,0.884,0.02,0.054,1.477,0.17,0.007,2.796,0.025,0.007,0.151,0.003,0.009,0.253,0.029,0.001,0.479
21,1023,558,77,2731,52,278,4494,543,12,8745,11216,5585,9567,21483,21458,26419,38180,19391,153299,0.498,0.069,2.435,0.046,0.248,4.007,0.484,0.011,7.797,0.999,0.138,4.89,0.093,0.498,8.047,0.972,0.021,15.658,0.583,0.08,2.855,0.054,0.291,4.697,0.568,0.013,9.141,0.26,0.036,1.271,0.024,0.129,2.092,0.253,0.006,4.071,0.26,0.036,1.273,0.024,0.13,2.094,0.253,0.006,4.075,0.211,0.029,1.034,0.02,0.105,1.701,0.206,0.005,3.31,0.146,0.02,0.715,0.014,0.073,1.177,0.142,0.003,2.29,0.288,0.04,1.408,0.027,0.143,2.318,0.28,0.006,4.51,0.036,0.005,0.178,0.003,0.018,0.293,0.035,0.001,0.57
22,1024,229,30,905,25,52,1419,195,7,2862,5303,2612,4863,11152,11170,13028,20012,13316,81456,0.432,0.057,1.707,0.047,0.098,2.676,0.368,0.013,5.397,0.877,0.115,3.465,0.096,0.199,5.433,0.747,0.027,10.957,0.471,0.062,1.861,0.051,0.107,2.918,0.401,0.014,5.885,0.205,0.027,0.812,0.022,0.047,1.272,0.175,0.006,2.566,0.205,0.027,0.81,0.022,0.047,1.27,0.175,0.006,2.562,0.176,0.023,0.695,0.019,0.04,1.089,0.15,0.005,2.197,0.114,0.015,0.452,0.012,0.026,0.709,0.097,0.003,1.43,0.172,0.023,0.68,0.019,0.039,1.066,0.146,0.005,2.149,0.028,0.004,0.111,0.003,0.006,0.174,0.024,0.001,0.351
