X,Y,SCODE_BMA,BMA_CODE
100.65003413,13.86592793,100502,100502.0
100.77313354,13.85120249,104605,104605.0
100.74510168,13.85299629,104604,104604.0
100.54700276,13.75452548,103704,103704.0
100.49755637,13.75957887,100108,100108.0
100.47563406,13.75216155,102002,102002.0
100.49215139,13.75122806,100101,100101.0
100.52977072,13.76304301,103701,103701.0
100.49922836,13.76790298,100112,100112.0
100.50304596,13.76182264,100110,100110.0
100.53840818,13.75731632,103702,103702.0
100.4946628,13.76189587,100109,100109.0
100.48125168,13.75883283,102001,102001.0
100.58599652,13.7515581,101702,101702.0
100.5106676,13.75887478,100805,100805.0
100.70816964,13.89114116,104601,104601.0
100.62957688,13.89765507,104203,104203.0
100.67230075,13.89631308,104202,104202.0
100.56389347,13.88278416,104101,104101.0
100.87202192,13.87209978,100302,100302.0
100.60577668,13.86789843,100501,100501.0
100.81167978,13.8732427,100306,100306.0
100.5800601,13.87146633,104102,104102.0
100.50548359,13.76476907,100111,100111.0
100.50143982,13.7572775,100107,100107.0
100.44147272,13.75227482,101904,101904.0
100.4186333,13.75062634,101906,101906.0
100.70638404,13.84429699,104603,104603.0
100.52796151,13.75222452,103703,103703.0
100.89181595,13.82581701,100301,100301.0
100.8285753,13.83884366,100305,100305.0
100.56136126,13.84315789,103001,103001.0
100.58366961,13.8421016,103002,103002.0
100.66830013,13.82431188,104302,104302.0
100.77446062,13.8122749,101002,101002.0
100.60812621,13.83922812,103802,103802.0
100.52668654,13.82942228,102902,102902.0
100.82229962,13.91357162,100303,100303.0
100.57976432,13.91696739,103602,103602.0
100.48647719,13.74279435,101601,101601.0
100.51183769,13.7437205,100801,100801.0
100.42306568,13.73800946,102205,102205.0
100.58588008,13.73607665,103902,103902.0
100.51097736,13.73820683,101302,101302.0
100.60073758,13.79348082,104502,104502.0
100.37264806,13.78569771,104802,104802.0
100.80081972,13.76715512,101104,101104.0
100.56326675,13.77507148,102601,102601.0
100.6205958,13.78819338,104503,104503.0
100.42853962,13.78618486,101903,101903.0
100.47455245,13.73389668,101602,101602.0
100.83666763,13.79775385,100307,100307.0
100.56574562,13.80852267,103004,103004.0
100.63864679,13.81126526,102702,102702.0
100.87866093,13.77671315,100308,100308.0
100.53021961,13.8106106,102901,102901.0
100.49888114,13.73277835,101801,101801.0
100.67982792,13.71745302,103201,103201.0
100.52024066,13.73360358,100401,100401.0
100.51738375,13.75745616,100204,100204.0
100.60912198,13.92007041,103603,103603.0
100.58717562,13.93924928,103601,103601.0
100.8791729,13.91795774,100304,100304.0
100.65227234,13.92141671,104201,104201.0
100.52059802,13.76780273,100203,100203.0
100.64383244,13.75510401,100602,100602.0
100.82440238,13.72376466,101105,101105.0
100.46312954,13.75984341,102004,102004.0
100.85380507,13.72746204,101106,101106.0
100.52323958,13.72943296,100405,100405.0
100.74971736,13.72280828,101101,101101.0
100.51443547,13.72460856,100404,100404.0
100.39743435,13.71990866,104002,104002.0
100.64531381,13.82872502,102703,102703.0
100.60056828,13.81380212,103801,103801.0
100.72305546,13.80228679,101001,101001.0
100.58123351,13.8193746,103003,103003.0
100.55265414,13.81529951,103005,103005.0
100.63509352,13.78844707,100601,100601.0
100.6606543,13.79360949,102701,102701.0
100.50870327,13.8001458,102502,102502.0
100.58542501,13.78460897,101703,101703.0
100.35108226,13.71410593,102302,102302.0
100.5050934,13.73116472,101802,101802.0
100.48996685,13.73055256,101502,101502.0
100.45183722,13.72856955,102203,102203.0
100.57075355,13.72285342,103302,103302.0
100.52654912,13.7417642,100702,100702.0
100.53486261,13.74037582,100703,100703.0
100.54550977,13.73627561,100704,100704.0
100.56093748,13.74294743,103901,103901.0
100.49901606,13.74396998,100102,100102.0
100.46327873,13.7217533,102206,102206.0
100.52542642,13.72669892,100403,100403.0
100.598854,13.77978389,104501,104501.0
100.43524798,13.72351288,102202,102202.0
100.52910016,13.72391955,100402,100402.0
100.52262175,13.78907248,100206,100206.0
100.45158992,13.79088736,101902,101902.0
100.69152048,13.76263414,104401,104401.0
100.49253484,13.7900062,102501,102501.0
100.54495821,13.78188655,101401,101401.0
100.50803237,13.70533019,103102,103102.0
100.68916182,13.68081655,103203,103203.0
100.5768348,13.76869503,101701,101701.0
100.48105996,13.78338879,102503,102503.0
100.43775321,13.57344514,102101,102101.0
100.48404861,13.70043884,101506,101506.0
100.41650433,13.69643369,104001,104001.0
100.39356588,13.69194759,104004,104004.0
100.44947568,13.69745449,103501,103501.0
100.61184733,13.69526247,100901,100901.0
100.51516071,13.69399699,103103,103103.0
100.45986208,13.73308079,102207,102207.0
100.44511693,13.73657953,102204,102204.0
100.50337796,13.75111746,100104,100104.0
100.56018961,13.72191701,103301,103301.0
100.4775393,13.77216402,102005,102005.0
100.50481458,13.77811258,100202,100202.0
100.49247985,13.7743228,102504,102504.0
100.75445863,13.75234189,101103,101103.0
100.51232317,13.77286076,100201,100201.0
100.45559801,13.7596681,101901,101901.0
100.42837173,13.76715107,101905,101905.0
100.72475835,13.75170556,101102,101102.0
100.46658845,13.77266598,102003,102003.0
100.34844251,13.75818848,104801,104801.0
100.51971807,13.74453876,100701,100701.0
100.38452795,13.74061083,104003,104003.0
100.51210322,13.74855192,100802,100802.0
100.49915819,13.74994747,100103,100103.0
100.62807749,13.72615633,103401,103401.0
100.49305919,13.73691827,101501,101501.0
100.51353616,13.7343561,101303,101303.0
100.41296235,13.62130778,102102,102102.0
100.51445154,13.71446916,102802,102802.0
100.49174251,13.70903019,101507,101507.0
100.50084453,13.71438034,101803,101803.0
100.50444533,13.74060069,101301,101301.0
100.52614196,13.70852864,102801,102801.0
100.51355347,13.75333011,100803,100803.0
100.4970814,13.75396501,100105,100105.0
100.50676795,13.75165851,100804,100804.0
100.50022424,13.75341578,100106,100106.0
100.59631981,13.71912084,103903,103903.0
100.59528136,13.70700531,103303,103303.0
100.44299932,13.71403865,102201,102201.0
100.47338269,13.7150621,101505,101505.0
100.49743581,13.6959964,103101,103101.0
100.65581988,13.68686178,103202,103202.0
100.46779648,13.69291431,103504,103504.0
100.35874757,13.67963586,102301,102301.0
100.53344263,13.67915467,101202,101202.0
100.49204103,13.67491326,102402,102402.0
100.38995587,13.65575807,105001,105001.0
100.46801008,13.67105796,103503,103503.0
100.51012889,13.67154448,102401,102401.0
100.61844231,13.66770057,104701,104701.0
100.48461242,13.71352281,101504,101504.0
100.54413965,13.69703524,101201,101201.0
100.50462847,13.72356477,101804,101804.0
100.48612932,13.72268203,101503,101503.0
100.54135823,13.71758905,102803,102803.0
100.46209542,13.70928171,103502,103502.0
100.49760773,13.61755719,104902,104902.0
100.68653403,13.81788103,104301,104301.0
100.76011856,13.89881937,104602,104602.0
100.61377711,13.76854816,104504,104504.0
100.4931066,13.64953556,104901,104901.0
