addrcode,SMAPE without CD,SMAPE with CD,% improve SMAPE,RMSE without CD,RMSE with CD,% improvve RMSE,MAE without CD,MAE with CD,% improve MAE
800101,95.36,56.49,0.41,0.73,0.58,0.21,0.65,0.48,0.26
800102,77.02,77.06,0.00,0.60,0.67,-0.13,0.48,0.55,-0.13
800103,98.48,64.30,0.35,0.76,0.63,0.17,0.65,0.48,0.26
800106,131.92,138.67,-0.05,0.37,0.43,-0.17,0.27,0.32,-0.17
800107,75.35,82.69,-0.10,0.46,0.52,-0.15,0.37,0.42,-0.14
800108,112.18,94.48,0.16,0.74,0.77,-0.03,0.53,0.51,0.05
800112,115.53,154.78,-0.34,0.26,0.43,-0.66,0.21,0.30,-0.47
800113,155.94,162.26,-0.04,0.26,0.36,-0.36,0.20,0.28,-0.36
800114,150.69,125.53,0.17,0.60,0.48,0.19,0.47,0.41,0.12
800115,104.23,107.62,-0.03,0.50,0.50,0.01,0.38,0.37,0.01
800116,92.52,113.40,-0.23,0.60,0.79,-0.32,0.52,0.64,-0.22
800118,69.21,56.90,0.18,0.50,0.41,0.18,0.40,0.32,0.20
800119,165.83,160.27,0.03,0.22,0.29,-0.31,0.17,0.22,-0.30
800120,66.18,68.34,-0.03,0.29,0.31,-0.10,0.23,0.25,-0.09
800121,94.57,75.38,0.20,0.43,0.37,0.12,0.36,0.31,0.14
800122,82.53,99.57,-0.21,0.41,0.52,-0.26,0.33,0.41,-0.24
800201,105.04,134.85,-0.28,0.54,0.60,-0.10,0.40,0.42,-0.04
800202,171.33,174.67,-0.02,0.60,0.64,-0.07,0.46,0.48,-0.03
800203,106.44,80.33,0.25,0.95,0.80,0.16,0.71,0.61,0.15
800204,95.61,105.54,-0.10,0.35,0.42,-0.20,0.28,0.31,-0.13
800205,135.10,134.48,0.00,0.62,0.76,-0.23,0.48,0.60,-0.24
800301,138.62,127.49,0.08,0.92,0.90,0.02,0.71,0.71,0.00
800302,159.74,159.07,0.00,0.80,1.02,-0.28,0.58,0.73,-0.26
800303,123.59,135.30,-0.09,0.62,0.66,-0.06,0.51,0.50,0.01
800304,125.92,112.97,0.10,0.83,0.80,0.04,0.64,0.62,0.04
800305,118.44,121.16,-0.02,0.73,0.81,-0.10,0.59,0.62,-0.06
800401,128.42,139.37,-0.09,1.51,1.66,-0.09,1.00,1.14,-0.15
800403,136.72,107.16,0.22,0.81,0.63,0.22,0.57,0.44,0.23
800404,116.11,124.36,-0.07,0.72,0.52,0.27,0.49,0.41,0.17
800405,142.55,136.30,0.04,0.38,0.38,0.00,0.26,0.24,0.08
800406,177.93,178.04,0.00,0.52,0.59,-0.13,0.39,0.44,-0.13
800407,175.18,166.51,0.05,0.40,0.82,-1.07,0.30,0.50,-0.64
800409,150.34,153.65,-0.02,0.44,0.56,-0.26,0.32,0.42,-0.33
800410,158.92,130.29,0.18,0.69,0.58,0.16,0.49,0.48,0.02
800415,192.27,195.28,-0.02,0.31,0.43,-0.37,0.19,0.31,-0.64
800416,117.32,147.51,-0.26,0.39,0.58,-0.48,0.30,0.46,-0.51
800501,136.67,133.82,0.02,0.75,0.68,0.09,0.56,0.57,-0.02
800502,143.38,146.23,-0.02,0.96,1.06,-0.11,0.66,0.74,-0.12
800503,103.08,109.32,-0.06,0.68,0.81,-0.19,0.52,0.62,-0.20
800504,126.29,135.45,-0.07,0.75,0.84,-0.12,0.61,0.68,-0.12
800505,179.33,179.53,0.00,0.66,0.73,-0.11,0.48,0.55,-0.13
800601,175.63,175.69,0.00,0.32,0.56,-0.76,0.27,0.37,-0.40
800603,191.13,192.78,-0.01,0.64,0.73,-0.15,0.42,0.51,-0.21
800604,197.56,197.44,0.00,1.17,1.53,-0.31,0.63,0.97,-0.54
800605,188.42,189.02,0.00,0.59,0.83,-0.42,0.43,0.68,-0.57
800606,187.98,179.57,0.04,0.22,0.53,-1.38,0.16,0.33,-1.01
800607,194.81,192.80,0.01,0.58,0.77,-0.32,0.34,0.47,-0.37
800610,184.38,168.00,0.09,0.72,0.82,-0.14,0.50,0.61,-0.22
800611,169.85,180.69,-0.06,0.37,0.46,-0.23,0.25,0.35,-0.38
800612,120.37,111.20,0.08,0.43,0.60,-0.39,0.34,0.46,-0.37
800613,167.52,179.34,-0.07,0.18,0.28,-0.55,0.16,0.23,-0.44
800701,167.01,177.37,-0.06,0.14,0.35,-1.49,0.12,0.25,-1.10
800702,176.52,178.19,-0.01,0.37,0.47,-0.28,0.27,0.37,-0.40
800703,169.80,124.42,0.27,0.76,0.70,0.08,0.58,0.50,0.13
800704,179.07,180.92,-0.01,0.23,0.37,-0.61,0.18,0.24,-0.36
800705,176.31,159.64,0.09,0.22,0.31,-0.36,0.16,0.22,-0.35
800706,165.30,160.65,0.03,0.41,0.39,0.06,0.30,0.30,-0.03
800707,180.37,172.21,0.05,0.23,0.41,-0.78,0.19,0.29,-0.53
800708,171.96,137.30,0.20,0.33,0.32,0.03,0.27,0.26,0.05
800709,151.67,161.97,-0.07,0.30,0.34,-0.12,0.26,0.26,-0.01
800710,163.73,163.60,0.00,0.25,0.28,-0.09,0.20,0.21,-0.05
800711,166.25,163.46,0.02,0.23,0.36,-0.56,0.17,0.29,-0.69
800801,132.83,111.47,0.16,0.14,0.20,-0.40,0.12,0.15,-0.26
800802,179.65,183.76,-0.02,0.24,0.30,-0.28,0.19,0.24,-0.25
800803,95.70,91.23,0.05,0.32,0.36,-0.13,0.25,0.27,-0.06
800804,172.27,177.90,-0.03,0.34,0.50,-0.49,0.28,0.35,-0.28
800806,155.17,160.82,-0.04,0.33,0.50,-0.51,0.26,0.39,-0.47
800807,107.32,131.28,-0.22,0.22,0.32,-0.47,0.19,0.25,-0.36
800809,119.69,107.99,0.10,0.46,0.61,-0.33,0.36,0.38,-0.05
800810,109.40,133.36,-0.22,0.34,0.65,-0.91,0.25,0.51,-1.04
800811,164.06,171.74,-0.05,0.26,0.39,-0.53,0.21,0.28,-0.30
800813,142.47,147.48,-0.04,0.31,0.39,-0.27,0.25,0.30,-0.21
800901,103.04,77.21,0.25,0.39,0.52,-0.32,0.31,0.35,-0.12
800902,100.83,120.31,-0.19,0.27,0.36,-0.35,0.22,0.29,-0.32
800903,146.38,163.27,-0.12,0.40,0.41,-0.02,0.35,0.32,0.06
800904,138.52,144.58,-0.04,0.27,0.50,-0.87,0.22,0.34,-0.56
800905,159.42,168.69,-0.06,0.50,0.57,-0.13,0.31,0.38,-0.20
800906,142.42,150.71,-0.06,0.39,0.46,-0.19,0.26,0.32,-0.21
800907,126.57,145.90,-0.15,0.36,0.46,-0.28,0.28,0.35,-0.26
800908,134.27,142.24,-0.06,0.34,0.38,-0.10,0.27,0.34,-0.24
800909,103.69,115.76,-0.12,0.42,0.57,-0.35,0.31,0.46,-0.48
800910,185.42,180.92,0.02,0.34,0.46,-0.35,0.26,0.37,-0.43
800911,115.00,101.46,0.12,0.48,0.51,-0.06,0.37,0.38,-0.04
800912,113.82,120.05,-0.05,0.53,0.58,-0.09,0.41,0.44,-0.08
800913,133.18,110.14,0.17,0.36,0.33,0.09,0.29,0.25,0.12
801001,92.43,109.09,-0.18,0.38,0.56,-0.46,0.32,0.43,-0.34
801002,117.62,108.13,0.08,0.79,0.78,0.02,0.64,0.60,0.07
801003,63.02,89.55,-0.42,0.35,0.52,-0.49,0.26,0.38,-0.46
801101,146.36,169.69,-0.16,0.19,0.34,-0.82,0.15,0.24,-0.57
801102,200.00,200.00,0.00,0.10,0.21,-1.12,0.10,0.14,-0.38
801103,179.84,186.21,-0.04,0.11,0.18,-0.67,0.10,0.15,-0.46
801104,164.45,181.72,-0.11,0.20,0.26,-0.31,0.18,0.19,-0.07
801105,87.10,119.22,-0.37,0.22,0.33,-0.48,0.17,0.27,-0.55
801106,178.58,176.39,0.01,0.11,0.24,-1.13,0.10,0.17,-0.61
801107,130.40,125.04,0.04,0.25,0.38,-0.51,0.19,0.27,-0.41
801202,182.05,170.42,0.06,0.23,0.38,-0.64,0.18,0.26,-0.43
801203,191.56,192.67,-0.01,0.36,0.64,-0.76,0.25,0.46,-0.85
801204,200.00,200.00,0.00,0.10,0.17,-0.70,0.10,0.11,-0.07
801205,163.88,160.87,0.02,0.38,0.38,0.00,0.29,0.27,0.05
801206,175.80,171.00,0.03,0.38,0.64,-0.66,0.25,0.41,-0.67
801207,195.29,185.91,0.05,0.19,0.42,-1.21,0.14,0.26,-0.87
801208,180.24,165.53,0.08,0.46,0.65,-0.41,0.29,0.48,-0.67
801209,195.20,198.05,-0.01,3.88,3.75,0.03,1.90,1.94,-0.02
801210,114.68,139.20,-0.21,0.20,0.29,-0.43,0.16,0.24,-0.51
801211,182.30,175.61,0.04,1.11,0.97,0.13,0.69,0.61,0.11
801212,169.93,179.47,-0.06,0.21,0.33,-0.57,0.19,0.27,-0.43
801213,196.12,197.49,-0.01,0.59,0.96,-0.62,0.24,0.54,-1.25
801214,125.28,117.89,0.06,0.65,0.91,-0.40,0.44,0.63,-0.44
801215,185.60,180.32,0.03,0.41,0.69,-0.69,0.29,0.50,-0.72
801216,140.09,126.86,0.09,1.00,1.12,-0.12,0.70,0.81,-0.17
801217,172.54,182.35,-0.06,0.13,0.25,-0.88,0.11,0.16,-0.40
801218,177.41,172.18,0.03,0.50,0.65,-0.30,0.29,0.48,-0.64
801301,70.36,106.59,-0.51,0.09,0.24,-1.60,0.08,0.19,-1.44
801303,128.82,147.55,-0.15,0.25,0.53,-1.12,0.19,0.33,-0.79
801304,178.07,181.00,-0.02,0.25,0.39,-0.56,0.19,0.31,-0.63
801305,130.34,140.27,-0.08,0.37,0.54,-0.47,0.30,0.41,-0.37
801306,184.27,196.29,-0.07,0.17,0.23,-0.35,0.14,0.17,-0.21
801401,106.44,131.60,-0.24,0.22,0.26,-0.20,0.18,0.21,-0.14
801402,128.70,138.02,-0.07,0.22,0.36,-0.64,0.18,0.26,-0.44
801403,178.26,183.08,-0.03,0.32,0.43,-0.37,0.23,0.31,-0.37
801404,135.24,148.77,-0.10,0.23,0.37,-0.58,0.18,0.29,-0.64
801405,173.78,178.92,-0.03,0.25,0.41,-0.65,0.21,0.28,-0.36
801406,85.74,92.91,-0.08,0.17,0.26,-0.56,0.13,0.19,-0.43
801407,191.35,192.76,-0.01,0.11,0.24,-1.14,0.10,0.16,-0.56
801408,190.09,191.89,-0.01,0.40,0.52,-0.30,0.24,0.36,-0.49
801409,143.39,149.40,-0.04,0.16,0.26,-0.68,0.13,0.19,-0.39
801501,89.61,87.08,0.03,0.51,0.59,-0.16,0.40,0.43,-0.07
801502,106.55,120.48,-0.13,0.37,0.38,-0.01,0.32,0.34,-0.06
801601,107.43,132.12,-0.23,0.31,0.51,-0.63,0.23,0.41,-0.81
801602,110.71,112.50,-0.02,0.35,0.52,-0.51,0.27,0.36,-0.34
801603,130.57,137.87,-0.06,0.58,0.65,-0.13,0.41,0.51,-0.24
801604,157.68,152.30,0.03,1.21,1.27,-0.05,0.80,0.90,-0.12
801605,169.27,186.42,-0.10,0.24,0.36,-0.49,0.20,0.27,-0.32
801606,191.02,190.68,0.00,0.27,0.48,-0.78,0.19,0.34,-0.82
801607,200.00,200.00,0.00,0.10,0.23,-1.29,0.10,0.16,-0.57
801608,191.07,172.12,0.10,0.40,0.53,-0.32,0.26,0.39,-0.47
801609,190.85,191.12,0.00,0.45,0.49,-0.09,0.24,0.34,-0.44
801610,194.26,189.25,0.03,0.45,0.56,-0.25,0.27,0.40,-0.48
801611,173.92,178.66,-0.03,0.30,0.50,-0.67,0.22,0.31,-0.41
801701,96.36,112.36,-0.17,0.39,0.42,-0.09,0.29,0.32,-0.10
801702,122.38,134.24,-0.10,0.22,0.32,-0.44,0.19,0.25,-0.32
801703,146.82,155.54,-0.06,0.20,0.32,-0.61,0.17,0.25,-0.45
801704,150.42,154.32,-0.03,0.27,0.34,-0.25,0.20,0.23,-0.15
801801,187.31,195.43,-0.04,0.23,0.33,-0.39,0.17,0.24,-0.40
801802,200.00,200.00,0.00,0.10,0.20,-0.97,0.10,0.14,-0.41
801803,178.48,161.17,0.10,0.20,0.28,-0.41,0.16,0.23,-0.40
801901,197.85,199.90,-0.01,0.47,0.81,-0.72,0.27,0.49,-0.78
801902,189.56,193.35,-0.02,0.44,0.61,-0.36,0.32,0.46,-0.42
801903,191.67,184.67,0.04,0.41,0.47,-0.17,0.31,0.36,-0.16
801904,170.02,143.72,0.15,0.26,0.27,-0.02,0.19,0.21,-0.12
801905,159.51,171.78,-0.08,0.21,0.33,-0.56,0.19,0.26,-0.39
801906,162.94,163.07,0.00,0.45,0.48,-0.06,0.29,0.35,-0.23
802001,93.57,78.10,0.17,0.84,0.73,0.14,0.68,0.58,0.14
802002,75.14,78.20,-0.04,0.54,0.51,0.05,0.38,0.39,-0.02
802003,96.15,77.98,0.19,0.97,0.66,0.32,0.68,0.49,0.28
802004,76.61,86.31,-0.13,0.48,0.82,-0.70,0.40,0.62,-0.55
802101,159.54,112.18,0.30,0.94,0.63,0.33,0.62,0.44,0.28
802102,112.66,118.89,-0.06,0.28,0.30,-0.08,0.23,0.25,-0.05
802103,162.00,140.29,0.13,0.50,0.42,0.16,0.34,0.32,0.07
802104,131.17,112.00,0.15,1.17,0.59,0.50,0.74,0.42,0.43
802201,86.45,96.43,-0.12,0.40,0.42,-0.04,0.30,0.34,-0.13
802202,128.48,133.60,-0.04,0.40,0.46,-0.15,0.31,0.36,-0.15
802203,168.69,157.93,0.06,0.37,0.41,-0.12,0.31,0.32,-0.05
802301,140.51,146.71,-0.04,0.24,0.45,-0.86,0.22,0.36,-0.62
802302,106.86,111.32,-0.04,0.43,0.69,-0.58,0.34,0.49,-0.46
802303,130.78,148.02,-0.13,0.26,0.41,-0.61,0.21,0.31,-0.49
802304,143.69,161.38,-0.12,0.19,0.35,-0.85,0.17,0.27,-0.60
,144.85,145.81,-1%,0.45,0.54,-34%,0.33,0.39,-29%